Overall Category,Primary NAICs Description ,Value,Count
Wholesale,Clothing And Clothing Accessories Merchant Wholesa,Clothing And Clothing Accessories Merchant Wholesa,229
Manufacturing,Cut And Sew Apparel Manufacturing (Except Contract,Cut And Sew Apparel Manufacturing (Except Contract,110
Manufacturing,Apparel Accessories And Other Apparel Manufacturin,Apparel Accessories And Other Apparel Manufacturin,123
Manufacturing,Jewelry And Silverware Manufacturing,Jewelry And Silverware Manufacturing,33
Manufacturing,Apparel Knitting Mills,Apparel Knitting Mills,15
Supplier,Textile And Fabric Finishing Mills,Textile And Fabric Finishing Mills,59
Wholesale,"Jewelry, Watch, Precious Stone, And Precious Metal","Jewelry, Watch, Precious Stone, And Precious Metal",16
Supplier,All Other Miscellaneous Textile Product Mills,All Other Miscellaneous Textile Product Mills,58
,Other specialized design services,Other specialized design services,7
Manufacturing,Other Leather And Allied Product Manufacturing,Other Leather And Allied Product Manufacturing,19
Retail,Clothing And Clothing Accessories Retailers,Clothing And Clothing Accessories Retailers,104
Supplier,Broadwoven Fabric Mills,Broadwoven Fabric Mills,23
,All Other Specialty Trade Contractors,All Other Specialty Trade Contractors,1
Wholesale,Home Furnishing Merchant Wholesalers,Home Furnishing Merchant Wholesalers,3
Supplier,"Piece Goods, Notions, And Other Dry Goods Merchant","Piece Goods, Notions, And Other Dry Goods Merchant",25
,Other Miscellaneous Nondurable Goods Merchant Whol,Other Miscellaneous Nondurable Goods Merchant Whol,4
Supplier,Knit Fabric Mills,Knit Fabric Mills,5
Manufacturing,Cut And Sew Apparel Contractors,Cut And Sew Apparel Contractors,6
,Residential Remodelers,Residential Remodelers,2
Manufacturing,"Fastener, Button, Needle, And Pin Manufacturing","Fastener, Button, Needle, And Pin Manufacturing",6
,,,4
Supplier,Carpet And Rug Mills,Carpet And Rug Mills,3
,Other Miscellaneous Durable Goods Merchant Wholesa,Other Miscellaneous Durable Goods Merchant Wholesa,1
Supplier,Narrow Fabric Mills And Schiffli Machine Embroider,Narrow Fabric Mills And Schiffli Machine Embroider,4
Supplier,"Fiber, Yarn, And Thread Mills","Fiber, Yarn, And Thread Mills",2
Retailer,Used Merchandise Retailers,Used Merchandise Retailers,1
,Office Administrative Services,Office Administrative Services,2
,All Other Miscellaneous Manufacturing,All Other Miscellaneous Manufacturing,7
Manufacturing,Footwear Manufacturing,Footwear Manufacturing,2
Manufacturing,Leather And Hide Tanning And Finishing,Leather And Hide Tanning And Finishing,2
Supplier,Curtain And Linen Mills,Curtain And Linen Mills,1
,Miscellaneous Financial Investment Activities,Miscellaneous Financial Investment Activities,1
Retail,Shoe Retailers,Shoe Retailers,1
,Industrial Supplies Merchant Wholesalers,Industrial Supplies Merchant Wholesalers,2
,Offices Of Real Estate Agents And Brokers,Offices Of Real Estate Agents And Brokers,3
Retail,Luggage And Leather Goods Retailers,Luggage And Leather Goods Retailers,4
Retailer,"Sewing, Needlework, And Piece Goods Retailers","Sewing, Needlework, And Piece Goods Retailers",3
Retail,All Other General Merchandise Retailers,All Other General Merchandise Retailers,9
,Unclassified Establishments,Unclassified Establishments,82
,New Single-Family Housing Construction (Except For,New Single-Family Housing Construction (Except For,1
,Industrial Machinery And Equipment Merchant Wholes,Industrial Machinery And Equipment Merchant Wholes,2
,Full-Service Restaurants,Full-Service Restaurants,3
,Offices Of Lawyers,Offices Of Lawyers,4
,Software Publishers,Software Publishers,5
,Other Performing Arts Companies,Other Performing Arts Companies,1
,All Other Support Services,All Other Support Services,1
,Travel Agencies,Travel Agencies,1
,Cemeteries And Crematories,Cemeteries And Crematories,1
,Land Subdivision,Land Subdivision,1
,Toy And Hobby Goods And Supplies Merchant Wholesal,Toy And Hobby Goods And Supplies Merchant Wholesal,1
,Other Social Advocacy Organizations,Other Social Advocacy Organizations,3
,All Other Personal Services,All Other Personal Services,3
,Industrial Design Services,Industrial Design Services,3
,All Other Miscellaneous Fabricated Metal Product M,All Other Miscellaneous Fabricated Metal Product M,1
Manufacturing,"Sawmill, Woodworking, And Paper Machinery Manufact","Sawmill, Woodworking, And Paper Machinery Manufact",1
,Motion Picture And Video Production,Motion Picture And Video Production,1
,Transportation Equipment And Supplies (Except Moto,Transportation Equipment And Supplies (Except Moto,1
,Printing And Writing Paper Merchant Wholesalers,Printing And Writing Paper Merchant Wholesalers,1
Retailer,Office Supplies And Stationery Retailers,Office Supplies And Stationery Retailers,1
,Beauty Salons,Beauty Salons,1
,Religious Organizations,Religious Organizations,1
,Sound Recording Studios,Sound Recording Studios,1
Manufacturing,Commercial Printing (Except Screen And Books),Commercial Printing (Except Screen And Books),1
